part_id,hh_id,part_age,part_gender,country
177,HH157,25,M,Zimbabwe
178,HH158,48,M,Zimbabwe
179,HH158,3,M,Zimbabwe
180,HH159,0,M,Zimbabwe
181,HH160,35,F,Zimbabwe
182,HH161,2,M,Zimbabwe
183,HH162,19,F,Zimbabwe
184,HH163,1,F,Zimbabwe
185,HH164,6,M,Zimbabwe
186,HH165,0,M,Zimbabwe
187,HH166,33,M,Zimbabwe
188,HH167,27,F,Zimbabwe
189,HH168,1,M,Zimbabwe
190,HH168,1,"",Zimbabwe
191,HH169,29,M,Zimbabwe
192,HH169,2,M,Zimbabwe
193,HH170,14,F,Zimbabwe
194,HH171,25,F,Zimbabwe
195,HH172,5,M,Zimbabwe
196,HH173,48,M,Zimbabwe
197,HH174,2,"",Zimbabwe
198,HH175,1,M,Zimbabwe
199,HH176,2,F,Zimbabwe
200,HH177,15,M,Zimbabwe
201,HH178,29,M,Zimbabwe
202,HH179,26,F,Zimbabwe
203,HH180,2,"",Zimbabwe
204,HH180,0,"",Zimbabwe
205,HH181,14,F,Zimbabwe
206,HH182,18,M,Zimbabwe
207,HH183,22,M,Zimbabwe
208,HH183,0,F,Zimbabwe
209,HH184,1,"",Zimbabwe
210,HH185,32,M,Zimbabwe
211,HH186,31,M,Zimbabwe
212,HH187,11,M,Zimbabwe
213,HH188,51,M,Zimbabwe
214,HH189,11,F,Zimbabwe
215,HH190,14,F,Zimbabwe
216,HH191,39,M,Zimbabwe
217,HH192,70,F,Zimbabwe
218,HH193,57,M,Zimbabwe
219,HH194,31,M,Zimbabwe
220,HH195,3,F,Zimbabwe
221,HH196,28,M,Zimbabwe
222,HH196,0,M,Zimbabwe
223,HH197,31,M,Zimbabwe
224,HH197,0,M,Zimbabwe
225,HH198,5,F,Zimbabwe
226,HH199,1,F,Zimbabwe
227,HH200,2,F,Zimbabwe
228,HH201,18,F,Zimbabwe
229,HH202,20,F,Zimbabwe
230,HH203,47,M,Zimbabwe
231,HH204,1,F,Zimbabwe
232,HH205,5,M,Zimbabwe
233,HH206,14,F,Zimbabwe
234,HH207,13,M,Zimbabwe
235,HH208,15,M,Zimbabwe
236,HH209,15,M,Zimbabwe
237,HH210,37,F,Zimbabwe
238,HH210,25,M,Zimbabwe
239,HH211,8,"",Zimbabwe
240,HH211,5,"",Zimbabwe
241,HH212,26,M,Zimbabwe
242,HH213,15,M,Zimbabwe
243,HH213,0,F,Zimbabwe
244,HH214,1,"",Zimbabwe
245,HH215,0,F,Zimbabwe
246,HH216,47,M,Zimbabwe
247,HH217,1,F,Zimbabwe
248,HH218,4,M,Zimbabwe
249,HH219,1,M,Zimbabwe
250,HH220,5,F,Zimbabwe
251,HH221,0,M,Zimbabwe
252,HH222,18,M,Zimbabwe
253,HH222,8,M,Zimbabwe
254,HH223,3,F,Zimbabwe
255,HH224,60,M,Zimbabwe
256,HH225,53,M,Zimbabwe
257,HH226,40,M,Zimbabwe
258,HH226,10,F,Zimbabwe
259,HH227,3,M,Zimbabwe
260,HH228,16,M,Zimbabwe
261,HH229,49,F,Zimbabwe
262,HH230,7,"",Zimbabwe
263,HH231,33,M,Zimbabwe
264,HH232,18,F,Zimbabwe
265,HH233,18,F,Zimbabwe
266,HH234,28,"",Zimbabwe
267,HH235,7,M,Zimbabwe
268,HH236,16,"",Zimbabwe
269,HH237,37,F,Zimbabwe
270,HH238,17,M,Zimbabwe
271,HH239,46,M,Zimbabwe
272,HH240,3,F,Zimbabwe
273,HH241,16,M,Zimbabwe
274,HH242,15,M,Zimbabwe
275,HH243,52,F,Zimbabwe
276,HH244,44,F,Zimbabwe
277,HH245,35,M,Zimbabwe
278,HH246,4,M,Zimbabwe
279,HH247,14,"",Zimbabwe
280,HH248,14,M,Zimbabwe
281,HH249,18,F,Zimbabwe
282,HH250,8,M,Zimbabwe
283,HH251,7,F,Zimbabwe
284,HH252,72,F,Zimbabwe
285,HH253,37,M,Zimbabwe
286,HH254,18,F,Zimbabwe
287,HH255,14,F,Zimbabwe
288,HH256,7,M,Zimbabwe
289,HH257,22,F,Zimbabwe
290,HH258,8,M,Zimbabwe
291,HH259,82,"",Zimbabwe
292,HH260,39,M,Zimbabwe
293,HH261,2,M,Zimbabwe
294,HH262,5,M,Zimbabwe
295,HH263,7,F,Zimbabwe
296,HH264,1,M,Zimbabwe
297,HH265,18,M,Zimbabwe
298,HH266,18,"",Zimbabwe
299,HH267,2,M,Zimbabwe
300,HH268,6,M,Zimbabwe
301,HH269,6,"",Zimbabwe
302,HH270,13,F,Zimbabwe
303,HH271,4,F,Zimbabwe
304,HH272,6,M,Zimbabwe
305,HH273,29,M,Zimbabwe
306,HH274,9,F,Zimbabwe
307,HH275,2,F,Zimbabwe
308,HH276,31,M,Zimbabwe
309,HH277,10,"",Zimbabwe
310,HH277,0,"",Zimbabwe
311,HH278,89,F,Zimbabwe
312,HH279,1,M,Zimbabwe
313,HH280,17,F,Zimbabwe
314,HH281,35,M,Zimbabwe
315,HH282,13,F,Zimbabwe
316,HH283,78,M,Zimbabwe
317,HH284,63,M,Zimbabwe
318,HH285,1,F,Zimbabwe
319,HH286,34,M,Zimbabwe
320,HH287,14,M,Zimbabwe
321,HH288,2,F,Zimbabwe
322,HH289,22,M,Zimbabwe
323,HH290,17,F,Zimbabwe
324,HH291,17,F,Zimbabwe
325,HH292,46,F,Zimbabwe
326,HH293,31,M,Zimbabwe
327,HH294,4,F,Zimbabwe
328,HH294,0,M,Zimbabwe
329,HH295,68,F,Zimbabwe
330,HH296,41,M,Zimbabwe
331,HH296,0,F,Zimbabwe
332,HH297,11,M,Zimbabwe
333,HH298,13,M,Zimbabwe
334,HH299,9,M,Zimbabwe
335,HH300,4,F,Zimbabwe
336,HH301,12,M,Zimbabwe
337,HH302,10,F,Zimbabwe
338,HH303,60,F,Zimbabwe
339,HH304,2,M,Zimbabwe
340,HH305,5,M,Zimbabwe
341,HH306,0,"",Zimbabwe
342,HH306,2,"",Zimbabwe
343,HH307,6,M,Zimbabwe
344,HH308,21,M,Zimbabwe
345,HH309,64,F,Zimbabwe
346,HH310,14,M,Zimbabwe
347,HH311,2,M,Zimbabwe
348,HH312,5,F,Zimbabwe
349,HH313,7,M,Zimbabwe
350,HH314,17,M,Zimbabwe
351,HH315,11,F,Zimbabwe
352,HH316,0,M,Zimbabwe
353,HH316,13,M,Zimbabwe
354,HH317,4,F,Zimbabwe
355,HH318,34,M,Zimbabwe
356,HH319,18,F,Zimbabwe
357,HH320,41,F,Zimbabwe
358,HH321,17,M,Zimbabwe
359,HH321,19,M,Zimbabwe
360,HH322,14,M,Zimbabwe
361,HH323,1,F,Zimbabwe
362,HH324,9,M,Zimbabwe
363,HH325,14,F,Zimbabwe
364,HH326,47,M,Zimbabwe
365,HH327,16,F,Zimbabwe
366,HH328,18,F,Zimbabwe
367,HH329,12,F,Zimbabwe
368,HH330,6,F,Zimbabwe
369,HH331,11,M,Zimbabwe
370,HH332,15,M,Zimbabwe
371,HH333,6,F,Zimbabwe
372,HH334,16,F,Zimbabwe
373,HH335,35,M,Zimbabwe
